# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59958.223181894704 3.25 0.75 0.9851859694775786 0.00037595001908784513 0.9783504000595351 1.007344807094568 0.9855361950188659 -0.00035022554128727457
59958.2234159598 3.25 0.75 0.9848036771634774 0.0003759664712807504 0.9783390641336926 1.0073444363558173 0.9855244131246323 -0.0007207359611549613
59958.2236500249 3.25 0.75 0.9857802248355872 0.0003760150241033978 0.9783278925543573 1.0073440656170662 0.9855127967922825 0.00026742804330470715
59958.223884089995 3.25 0.75 0.986135310159454 0.00037612875059577964 0.9783168832443977 1.0073436948783154 0.985501343929249 0.000633966230204952
59958.2241181551 3.25 0.75 0.9853027709006655 0.0003758947687307218 0.9783060341791011 1.0073433241395529 0.9854900524957587 -0.00018728159509318054
59958.22435222019 3.25 0.75 0.9856169680350002 0.00037593709522508256 0.978295343386177 1.0073429534008134 0.9854789205048944 0.0001380475301058226
59958.22458628529 3.25 0.75 0.9851651762850537 0.00037589418576088393 0.9782848089408097 1.0073425826620626 0.9854679460174977 -0.00030276973244391936
59958.224820350384 3.25 0.75 0.9856476678756066 0.0003760574798672225 0.9782744289674776 1.0073422119233115 0.9854571271441134 0.00019054073149327166
59958.22505441549 3.25 0.75 0.9856079072756169 0.00037604276805592495 0.9782642016364977 1.0073418411845492 0.9854464620414427 0.00016144523417416234
59958.225288480586 3.25 0.75 0.9844542542431256 0.00037572280494742983 0.9782541251642252 1.0073414704457981 0.9854359489125984 -0.0009816946694728435
59958.225522545676 3.25 0.75 0.9854458108226944 0.0003758945651719155 0.9782441978101072 1.0073410997070587 0.9854255860040828 2.0224818611636053e-05
