# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59958.28825199116 3.25 0.75 0.9869668038157585 0.0003789606072259121 0.9798152002816172 1.0072396090176359 0.9869086792411926 5.81245745658876e-05
59958.288486056255 3.25 0.75 0.9869034134356179 0.00037891289348309986 0.9798620197218744 1.0072392376753627 0.986955473771702 -5.20603360840699e-05
59958.288720121345 3.25 0.75 0.9873970277433172 0.0003789325784944567 0.9799106682166181 1.0072388663331011 0.987004110562218 0.0003929171810991283
59958.28895418644 3.25 0.75 0.9867521346794905 0.0003789619491143772 0.9799613275131787 1.0072384949908282 0.9870547726735881 -0.0003026379940975765
59958.28918825153 3.25 0.75 0.9874910773050681 0.00037894600875252725 0.9800142265146667 1.0072381236485666 0.9871076906635342 0.00038338664153392266
59958.28942231663 3.25 0.75 0.9879452900119345 0.00037910923302192335 0.980069668192523 1.0072377523062934 0.9871631696938116 0.0007821203181229697
59958.28965638171 3.25 0.75 0.9869779298882754 0.0003789857799324977 0.9801280884642323 1.0072373809640434 0.9872216488340075 -0.00024371894573216313
59958.28989044681 3.25 0.75 0.9871903907344866 0.0003789383874637703 0.9801902443468394 1.0072370096217704 0.987283890576343 -9.349984185647031e-05
59958.2901245119 3.25 0.75 0.9872565217553598 0.00037900286463468023 0.9802930019240291 1.0072366382795088 0.9873870277868871 -0.000130506031527311
59958.290358577 3.25 0.75 0.9874081034460549 0.000378995577976514 0.980459408906543 1.0072362669372357 0.9875542749105151 -0.00014617146446016527
59958.290592642086 3.25 0.75 0.9877433972753853 0.0003789569249894929 0.980661222556744 1.007235895594974 0.9877571847772043 -1.3787501819018111e-05
59958.29082670718 3.25 0.75 0.9878313516562566 0.00037908759047534577 0.9808899537586724 1.0072355242527011 0.9879872068083242 -0.0001558551520676188
59958.291060772266 3.25 0.75 0.9885200460871428 0.0003791754597297562 0.9811408097785247 1.007235152910451 0.9882395135639561 0.0002805325231867162
59958.29129483736 3.25 0.75 0.9884108773717546 0.0003792919158928766 0.9814105254019534 1.007234781568178 0.9885108161819472 -9.993881019265682e-05
59958.29152890245 3.25 0.75 0.9882685851945093 0.0003791424464731345 0.9816966550523787 1.0072344102259163 0.9887986513724375 -0.0005300661779281679
59958.29176296755 3.25 0.75 0.9896109433124455 0.00037950432005873615 0.9819972572982706 1.0072340388836432 0.9891010636411972 0.00050987967124827
